event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam  Medrano,Adam Bazaldua,B. Adam McGough,Cara Mendelsohn,Carolyn King Arnold,Casey Thomas II,Chad West,David Blewett,Eric Johnson,Jaime Resendez,Jennifer S.  Gates,Lee M. Kleinman,Omar Narvaez,Paula Blackmon,Tennell Atkins
,2021-01-06,,City Council,,,1,,"Approval of Minutes of the December 2, 2020 City Council Meeting",,,,,,,,,,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2021/010621Min.pdf,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
,2021-01-06,,City Council,,,2,,Consideration of appointments to boards and commissions and the evaluation and duties of board and commission members (List of nominees is available in the City Secretary's Office),,,,,,,,,,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2021/010621Min.pdf,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1869,2021-01-13,9:00 AM,City Council,bit.ly/cityofdallastv,41444,1.,16,"Approval of Minutes of the December 9, 2020 City Council Meeting",20-2303,VOTING AGENDA,Approved,7234,"Approval of Minutes of the December 9, 2020 City Council Meeting",2020-11-10,21-0112; APPROVED,N/A,City Manager's Office,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/1/1869_A_City_Council_21-01-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/011321Min.pdf,https://dallastx.new.swagit.com/videos/201943,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1869,2021-01-13,9:00 AM,City Council,bit.ly/cityofdallastv,41581,2.,19,"Authorize an architectural services contract with Mead and Hunt, Inc. to provide an architectural programming for a replacement Aircraft Rescue and Firefighting Station at Dallas Love Field - Not to exceed $125,265.00 - Financing:  Aviation Construction Fund",20-2284,CONSENT AGENDA,Corrected; Approved,7215,"Authorize an architectural services contract with Mead and Hunt, Inc. to provide an architectural programming for a replacement Aircraft Rescue and Firefighting Station at Dallas Love Field - Not to exceed $125,265.00 - Financing:  Aviation Construction Fund",2020-11-09,21-0114; CORRECTED; APPROVED,Department of Aviation (AVI),Department of Aviation,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/1/1869_A_City_Council_21-01-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/011321Min.pdf,https://dallastx.new.swagit.com/videos/201943,https://cityofdallas.legistar1.com/cityofdallas/attachments/7329c680-97b0-4f92-a884-0a2480ed6d55.doc|https://cityofdallas.legistar1.com/cityofdallas/attachments/3efa6b65-3133-4146-b62e-95a0642072c7.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1869,2021-01-13,9:00 AM,City Council,bit.ly/cityofdallastv,41448,3.,20,"Authorize a construction services contract to provide construction services for the Dallas Love Field Entry Road Enhancements Project - The Fain Group, lowest responsible bidder of five - Not to exceed $13,060,705.28 - Financing: Aviation Construction Fund",20-2292,CONSENT AGENDA,Approved,7223,"Authorize a construction services contract to provide construction services for the Dallas Love Field Entry Road Enhancements Project - The Fain Group, lowest responsible bidder of five - Not to exceed $13,060,705.28 - Financing: Aviation Construction Fund",2020-11-09,21-0115; APPROVED,Department of Aviation (AVI),Department of Aviation,1,Socrata Roll Call,,,,,0,3,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/1/1869_A_City_Council_21-01-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/011321Min.pdf,https://dallastx.new.swagit.com/videos/201943,https://cityofdallas.legistar1.com/cityofdallas/attachments/fd6cbeed-9043-4b17-9f9e-ca603e8ce479.doc|https://cityofdallas.legistar1.com/cityofdallas/attachments/899a7ca8-b23b-4944-9ff7-2d4685303026.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1869,2021-01-13,9:00 AM,City Council,bit.ly/cityofdallastv,41450,4.,22,"Authorize a construction services contract for construction of the elevator and escalator modernization at the Kay Baily Hutchison Convention Center Dallas, located at 650 South Griffin Street - Sawyers Construction, Inc., best value proposer of two - Not to exceed $6,498,768.00 - Financing: Convention Center Construction Fund",20-2216,CONSENT AGENDA,Approved,7147,"Authorize a construction services contract for construction of the elevator and escalator modernization at the Kay Baily Hutchison Convention Center Dallas, located at 650 South Griffin Street - Sawyers Construction, Inc., best value proposer of two - Not to exceed $6,498,768.00 - Financing: Convention Center Construction Fund",2020-11-02,21-0116; APPROVED,Department of Convention and Event Services (CCT),Department of Convention and Event Services,1,Socrata Roll Call,,,,,0,4,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/1/1869_A_City_Council_21-01-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/011321Min.pdf,https://dallastx.new.swagit.com/videos/201943,https://cityofdallas.legistar1.com/cityofdallas/attachments/9308f6ac-943d-48ec-a5a9-ffcd8f8839db.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1869,2021-01-13,9:00 AM,City Council,bit.ly/cityofdallastv,41453,5.,25,"Authorize the (1) acceptance of a grant in the amount of $50,000.00 from the American Society for the Prevention of Cruelty Animals (ASPCA) to be used for the purchase of pet food for the period November 25, 2020 through March 31, 2021; (2) establishment of appropriations in an amount not to exceed $50,000.00 in the ASPCA COVID-19 Emergency Relief Fund; (3) receipt and deposit of funds in an amount not to exceed $50,000.00 in the ASPCA COVID-19 Emergency Relief Fund; and (4) execution of the grant agreement and all terms, conditions, and documents required by the grant agreement - Not to exceed $50,000.00 - Financing: ASPCA Grant Funds",20-2475,CONSENT AGENDA,Approved,7406,"Authorize the (1) acceptance of a grant in the amount of $50,000.00 from the American Society for the Prevention of Cruelty Animals (ASPCA) to be used for the purchase of pet food for the period November 25, 2020 through March 31, 2021; (2) establishment of appropriations in an amount not to exceed $50,000.00 in the ASPCA COVID-19 Emergency Relief Fund; (3) receipt and deposit of funds in an amount not to exceed $50,000.00 in the ASPCA COVID-19 Emergency Relief Fund; and (4) execution of the grant agreement and all terms, conditions, and documents required by the grant agreement - Not to exceed $50,000.00 - Financing: ASPCA Grant Funds",2020-12-10,21-0117; APPROVED,Department of Dallas Animal Services (DAS),Department of Dallas Animal Services,1,Socrata Roll Call,,,,,0,5,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/1/1869_A_City_Council_21-01-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/011321Min.pdf,https://dallastx.new.swagit.com/videos/201943,https://cityofdallas.legistar1.com/cityofdallas/attachments/0331446a-a008-41f5-a3ae-7ce82191b167.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1869,2021-01-13,9:00 AM,City Council,bit.ly/cityofdallastv,41580,6.,27,"Authorize (1) a preliminary adoption of Substantial Amendment No.5 to the Neighborhood Stabilization Program (NSP) 1 and NSP 3 to expand the target areas in the Action Plan as defined in Attachment A; and (2) a public hearing for public comments on February 10, 2021; and, at the conclusion of the public hearing approve the adoption of the Substantial Amendment No. 5 - Financing: No cost consideration to the City",20-2294,CONSENT AGENDA,Approved as an Individual Item,7225,"Authorize (1) a preliminary adoption of Substantial Amendment No.5 to the Neighborhood Stabilization Program (NSP) 1 and NSP 3 to expand the target areas in the Action Plan as defined in Attachment A; and (2) a public hearing for public comments on February 10, 2021; and, at the conclusion of the public hearing approve the adoption of the Substantial Amendment No. 5 - Financing: No cost consideration to the City",2020-11-09,21-0118; APPROVED AS AN INDIVIDUAL ITEM,Department of Housing & Neighborhood Revitalization (HOU),Department of Housing & Neighborhood Revitalization,1,Socrata Roll Call,,,,,0,6,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/1/1869_A_City_Council_21-01-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/011321Min.pdf,https://dallastx.new.swagit.com/videos/201943,https://cityofdallas.legistar1.com/cityofdallas/attachments/1b3b5b5b-bd0c-4dd1-b71d-5d37547e18df.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/257f56ee-225f-49ce-8339-24edfca282ab.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/e7c54fa4-389d-4cb4-8a94-01a446542e12.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/09742343-30ec-42d2-9ddd-e87c6e9f4daf.pdf,YES,YES,YES,ABST,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1869,2021-01-13,9:00 AM,City Council,bit.ly/cityofdallastv,41455,7.,29,"Authorize a construction services contract for the construction of Alley Reconstruction Group 17-8004 (list attached to the Agenda Information Sheet) - Estrada Concrete Company, LLC, lowest responsible bidder of seven - Not to exceed $1,122,615.00 - Financing: Street and Transportation (A) Fund (2017 General Obligation Bond Funds) ($858,150.00), Wastewater Capital Improvement E Fund ($259,590.00), and Wastewater Construction Fund ($4,875.00)",20-1999,CONSENT AGENDA,Approved,6930,"Authorize a construction services contract for the construction of Alley Reconstruction Group 17-8004 (list attached to the Agenda Information Sheet) - Estrada Concrete Company, LLC, lowest responsible bidder of seven - Not to exceed $1,122,615.00 - Financing: Street and Transportation (A) Fund (2017 General Obligation Bond Funds) ($858,150.00), Wastewater Capital Improvement E Fund ($259,590.00), and Wastewater Construction Fund ($4,875.00)",2020-10-06,21-0119; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,7,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/1/1869_A_City_Council_21-01-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/011321Min.pdf,https://dallastx.new.swagit.com/videos/201943,https://cityofdallas.legistar1.com/cityofdallas/attachments/3cb87f0a-f4d9-426f-bbe2-36d707470212.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/b5001982-7a27-4225-af09-808d87831746.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/59061e68-d35b-42d6-a20b-f175b6b55f93.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
1869,2021-01-13,9:00 AM,City Council,bit.ly/cityofdallastv,41457,8.,30,"Authorize a construction services contract for the construction of Alley Reconstruction Group 17-1403 (list attached to the Agenda Information Sheet) - Estrada Concrete Company, LLC, lowest responsible bidder of four - Not to exceed $2,097,452.00 - Financing: Street and Transportation (A) Fund (2017 General Obligation Bond Funds) ($778,620.00), Water  Capital Improvement D Fund ($541,930.00), Water Construction Fund ($23,950.00), Wastewater Capital Improvement E Fund ($733,702.00), and Wastewater Construction Fund ($19,250.00)",20-2327,CONSENT AGENDA,Approved,7258,"Authorize a construction services contract for the construction of Alley Reconstruction Group 17-1403 (list attached to the Agenda Information Sheet) - Estrada Concrete Company, LLC, lowest responsible bidder of four - Not to exceed $2,097,452.00 - Financing: Street and Transportation (A) Fund (2017 General Obligation Bond Funds) ($778,620.00), Water  Capital Improvement D Fund ($541,930.00), Water Construction Fund ($23,950.00), Wastewater Capital Improvement E Fund ($733,702.00), and Wastewater Construction Fund ($19,250.00)",2020-11-16,21-0120; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,8,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/1/1869_A_City_Council_21-01-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/011321Min.pdf,https://dallastx.new.swagit.com/videos/201943,https://cityofdallas.legistar1.com/cityofdallas/attachments/471d80eb-d17b-4191-86e5-d4f63b6b8676.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/8f9dfd2f-42ce-4d92-9efa-1773c591f920.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
