district,voter_name,title,first_seen,last_seen,vote_count
2,Adam  Medrano,Mayor Pro Tem,2021-04-07,2021-06-09,328
7,Adam Bazaldua,Councilmember,2021-04-07,2021-06-23,422
10,Adam McGough,Councilmember,2021-06-14,2021-06-23,94
10,B. Adam McGough,Deputy Mayor Pro Tem,2021-04-07,2021-06-09,328
12,Cara Mendelsohn,Councilmember,2021-04-07,2021-06-23,422
4,Carolyn King Arnold,Councilmember,2021-04-07,2021-06-23,422
3,Casey Thomas II,Councilmember,2021-04-07,2021-06-23,422
1,Chad West,Councilmember,2021-04-07,2021-06-23,422
14,David Blewett,Councilmember,2021-04-07,2021-06-09,328
15,Eric Johnson,Mayor,2021-04-07,2021-06-23,422
13,Gay Donnell Willis,Councilmember,2021-06-14,2021-06-23,94
5,Jaime Resendez,Councilmember,2021-04-07,2021-06-23,422
11,Jaynie Shultz,Councilmember,2021-06-14,2021-06-23,94
13,Jennifer S.  Gates,Councilmember,2021-04-07,2021-06-09,328
2,Jesse Moreno,Councilmember,2021-06-14,2021-06-23,94
11,Lee M. Kleinman,Councilmember,2021-04-07,2021-06-09,328
6,Omar Narvaez,Councilmember,2021-04-07,2021-06-23,422
14,Paul Ridley,Councilmember,2021-06-14,2021-06-23,94
9,Paula Blackmon,Councilmember,2021-04-07,2021-06-23,422
8,Tennell Atkins,Councilmember,2021-04-07,2021-06-23,422
