event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam  Medrano,Adam Bazaldua,Adam McGough,B. Adam McGough,Cara Mendelsohn,Carolyn King Arnold,Casey Thomas II,Chad West,David Blewett,Eric Johnson,Gay Donnell Willis,Jaime Resendez,Jaynie Shultz,Jennifer S.  Gates,Jesse Moreno,Lee M. Kleinman,Omar Narvaez,Paul Ridley,Paula Blackmon,Tennell Atkins
,2021-04-07,,City Council,,,1,,"Approval of Minutes of the March 3, 2021 City Council Meeting",,,,,,,,,,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2021/040721Min.pdf,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,,YES,YES
,2021-04-07,,City Council,,,2,,Consideration of appointments to boards and commissions and the evaluation and duties of board and commission members (List of nominees is available in the City Secretary's Office),,,,,,,,,,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2021/040721Min.pdf,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,,YES,YES
1877,2021-04-14,9:00 AM,City Council,bit.ly/cityofdallastv,43615,1.,16,"Approval of minutes of the March 24, 2021 City Council Meeting",21-573,VOTING AGENDA,Approved,8107,"Approval of minutes of the March 24, 2021 City Council Meeting",2021-03-22,21-0592; APPROVED,City Secretary's Office (SEC),City Secretary's Office,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/4/1877_A_City_Council_21-04-14_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/041421Min.pdf,https://dallastx.new.swagit.com/videos/201949,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,,YES,YES
1877,2021-04-14,9:00 AM,City Council,bit.ly/cityofdallastv,43572,2.,19,"Authorize a (1) sixteen-month extension of the Master Equipment Lease/Purchase Agreement for the financing of personal property purchases with Banc of America Public Capital Corp; and (2) approving other matters in connection therewith including annual legal fees therewith - Not to exceed $30,000 - Financing: General Fund (subject to appropriations)",21-567,CONSENT AGENDA,Approved,8101,"Authorize a (1) sixteen-month extension of the Master Equipment Lease/Purchase Agreement for the financing of personal property purchases with Banc of America Public Capital Corp; and (2) approving other matters in connection therewith including annual legal fees therewith - Not to exceed $30,000 - Financing: General Fund (subject to appropriations)",2021-03-19,21-0594; APPROVED,City Controller's Office (CCO),City Controller's Office,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/4/1877_A_City_Council_21-04-14_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/041421Min.pdf,https://dallastx.new.swagit.com/videos/201949,https://cityofdallas.legistar1.com/cityofdallas/attachments/e535b866-d365-42f7-b24e-9c179da385d5.docx,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,,YES,YES
1877,2021-04-14,9:00 AM,City Council,bit.ly/cityofdallastv,43654,3.,22,"Authorize the (1) application for and acceptance of a series of grants from the U.S. Department of Transportation, Federal Aviation Administration (FAA) (Grant Nos. 3-48-0062-063-2021 and 3-48-0062-064-2021, CFDA No. 20.106) in the amount of $32,400,000.00 and the Texas Department of Transportation - Aviation Division (Grant No. TBD, CFDA No. 20.106) in the amount of $185,000.00 in a total amount of $32,585,000.00 for the federal share of the eligible airport programs and projects for the Coronavirus Response and Relief Supplemental Appropriations Act (CRRSAA) within the Dallas Airport System; (2) establishment of appropriations in the amount of $29,000,000.00 in the FAA CRRSAA - General Relief (O&M) Fund, $3,400,000.00 in the FAA CRRSSA - Concessions Fund, $115,000.00 in the TxDOT  CRRSAA - DEA Fund, and $70,000.00 in the TxDOT CRRSAA - Contract Tower; (3) receipt and deposit of CRRSAA grant funds in the amount of $29,000,000.00 in the FAA CRRSAA - General  Relief (O&M) Fund, $3,400,000.00 in the FAA CRRSAA - Concessions Fund, $115,000.00 in the TxDOT  CRRSAA - DEA Fund, and $70,000.00 in the TxDOT CRRSAA - Contract Tower; and (4) execution of the CRRSAA grant agreement and all terms, conditions, and documents required by the agreement - Total amount of $32,585,000.00 - Financing: Federal Aviation Administration Grant Funds ($32,400,000.00) and Texas Department of Transportation Aviation Grant Funds ($185,000.00)",21-405,CONSENT AGENDA,Approved,7939,"Authorize the (1) application for and acceptance of a series of grants from the U.S. Department of Transportation, Federal Aviation Administration (FAA) (Grant Nos. 3-48-0062-063-2021 and 3-48-0062-064-2021, CFDA No. 20.106) in the amount of $32,400,000.00 and the Texas Department of Transportation - Aviation Division (Grant No. TBD, CFDA No. 20.106) in the amount of $185,000.00 in a total amount of $32,585,000.00 for the federal share of the eligible airport programs and projects for the Coronavirus Response and Relief Supplemental Appropriations Act (CRRSAA) within the Dallas Airport System; (2) establishment of appropriations in the amount of $29,000,000.00 in the FAA CRRSAA - General Relief (O&M) Fund, $3,400,000.00 in the FAA CRRSSA - Concessions Fund, $115,000.00 in the TxDOT  CRRSAA - DEA Fund, and $70,000.00 in the TxDOT CRRSAA - Contract Tower; (3) receipt and deposit of CRRSAA grant funds in the amount of $29,000,000.00 in the FAA CRRSAA - General  Relief (O&M) Fund, $3,400,000.00 in the FAA CRRSAA - Concessions Fund, $115,000.00 in the TxDOT  CRRSAA - DEA Fund, and $70,000.00 in the TxDOT CRRSAA - Contract Tower; and (4) execution of the CRRSAA grant agreement and all terms, conditions, and documents required by the agreement - Total amount of $32,585,000.00 - Financing: Federal Aviation Administration Grant Funds ($32,400,000.00) and Texas Department of Transportation Aviation Grant Funds ($185,000.00)",2021-02-26,21-0595; APPROVED,Department of Aviation (AVI),Department of Aviation,1,Socrata Roll Call,,,,,0,3,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/4/1877_A_City_Council_21-04-14_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/041421Min.pdf,https://dallastx.new.swagit.com/videos/201949,https://cityofdallas.legistar1.com/cityofdallas/attachments/5a0fcef0-94b8-497b-995f-4a74ceae393d.docx,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,,YES,YES
1877,2021-04-14,9:00 AM,City Council,bit.ly/cityofdallastv,43513,4.,24,"Authorize a second letter amendment to the Lease Agreement between the City of Dallas and the Arena Group to (1) grant a second deferment of the due date for the Fiscal Year (FY) 2021 rent payment in the amount of $3,400,000.00 for the American Airlines Center (AAC) from a date previously requested by the Center Operating Company, L.P. from April 30, 2021 to September 30, 2021 and approved by the City Council on October 13, 2020 by letter amendment to the Lease Agreement between the City of Dallas and the Arena Group; and (2) grant a one-time deferral of the due date for the FY 2022 rent payment in the amount of $3,400,000.00 for the AAC from October 1, 2021 until  April 30, 2022 - Financing: This action has no cost consideration to the City (see Fiscal Information)",21-543,CONSENT AGENDA,Approved,8077,"Authorize a second letter amendment to the Lease Agreement between the City of Dallas and the Arena Group to (1) grant a second deferment of the due date for the Fiscal Year (FY) 2021 rent payment in the amount of $3,400,000.00 for the American Airlines Center (AAC) from a date previously requested by the Center Operating Company, L.P. from April 30, 2021 to September 30, 2021 and approved by the City Council on October 13, 2020 by letter amendment to the Lease Agreement between the City of Dallas and the Arena Group; and (2) grant a one-time deferral of the due date for the FY 2022 rent payment in the amount of $3,400,000.00 for the AAC from October 1, 2021 until  April 30, 2022 - Financing: This action has no cost consideration to the City (see Fiscal Information)",2021-03-18,21-0596; APPROVED,Department of Convention and Event Services (CCT),Department of Convention and Event Services,1,Socrata Roll Call,,,,,0,4,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/4/1877_A_City_Council_21-04-14_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/041421Min.pdf,https://dallastx.new.swagit.com/videos/201949,https://cityofdallas.legistar1.com/cityofdallas/attachments/dd781390-e405-47ae-a260-768c63277484.docx,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,,YES,YES
1877,2021-04-14,9:00 AM,City Council,bit.ly/cityofdallastv,43515,5.,27,"Authorize the (1) acceptance of a grant from Bissell Pet Foundation Empty the Shelters in the amount of $7,550.00 to be used for partial reimbursement for the adoption prep of each animal adopted during the COVID-19 virtual Empty the Shelters event for the period of December 9 through December 13, 2020; and (2) establishment of appropriations in an amount not to exceed $7,550.00 in the Bissell Pet Foundation December Empty the Shelters Fund; and (3) receipt and deposit of funds in an amount not to exceed $7,550.00 in the Bissell Pet Foundation December Empty the Shelters Fund - Not to exceed $7,550.00 - Financing: Bissell Pet Foundation Grant Funds",21-478,CONSENT AGENDA,Approved,8012,"Authorize the (1) acceptance of a grant from Bissell Pet Foundation Empty the Shelters in the amount of $7,550.00 to be used for partial reimbursement for the adoption prep of each animal adopted during the COVID-19 virtual Empty the Shelters event for the period of December 9 through December 13, 2020; and (2) establishment of appropriations in an amount not to exceed $7,550.00 in the Bissell Pet Foundation December Empty the Shelters Fund; and (3) receipt and deposit of funds in an amount not to exceed $7,550.00 in the Bissell Pet Foundation December Empty the Shelters Fund - Not to exceed $7,550.00 - Financing: Bissell Pet Foundation Grant Funds",2021-03-16,21-0597; APPROVED,Department of Dallas Animal Services (DAS),Department of Dallas Animal Services,1,Socrata Roll Call,,,,,0,5,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/4/1877_A_City_Council_21-04-14_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/041421Min.pdf,https://dallastx.new.swagit.com/videos/201949,https://cityofdallas.legistar1.com/cityofdallas/attachments/eef18d14-713d-48d6-9e3b-a965d3a6318f.docx,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,,YES,YES
1877,2021-04-14,9:00 AM,City Council,bit.ly/cityofdallastv,43517,6.,29,"Authorize a Community Development Block Grant Funds (CDBG) development loan agreement and security documents in an amount not to exceed $2,500,000.00 in CDBG funds with Midpark Towers Apts. LP (Midpark Towers), or an affiliate thereof, and the City of Dallas Housing Finance Corporation, or an affiliate thereof (DHFC), conditioned upon Midpark Towers receiving a 2021 4% Housing Tax Credit award, for which the DHFC shall purchase and own the land, enter into a long-term ground lease with Midpark Towers, and take an ownership interest in Midpark Towers for the acquisition and renovation of an affordable multifamily complex located at 8550 Midpark Road - Not to exceed $2,500,000.00 - Financing: Community Development Block Grant Funds",21-325,CONSENT AGENDA,Approved,7859,"Authorize a Community Development Block Grant Funds (CDBG) development loan agreement and security documents in an amount not to exceed $2,500,000.00 in CDBG funds with Midpark Towers Apts. LP (Midpark Towers), or an affiliate thereof, and the City of Dallas Housing Finance Corporation, or an affiliate thereof (DHFC), conditioned upon Midpark Towers receiving a 2021 4% Housing Tax Credit award, for which the DHFC shall purchase and own the land, enter into a long-term ground lease with Midpark Towers, and take an ownership interest in Midpark Towers for the acquisition and renovation of an affordable multifamily complex located at 8550 Midpark Road - Not to exceed $2,500,000.00 - Financing: Community Development Block Grant Funds",2021-02-17,21-0598; APPROVED,Department of Housing & Neighborhood Revitalization (HOU),Department of Housing & Neighborhood Revitalization,1,Socrata Roll Call,,,,,0,6,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/4/1877_A_City_Council_21-04-14_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/041421Min.pdf,https://dallastx.new.swagit.com/videos/201949,https://cityofdallas.legistar1.com/cityofdallas/attachments/ba3c45ca-18e8-40fc-be7e-cd2b7d6a0464.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/837cd89c-f195-412f-abcb-33eea736f605.docx,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,,YES,YES
1877,2021-04-14,9:00 AM,City Council,bit.ly/cityofdallastv,43518,7.,31,"Authorize (1) the sale of up to 50 Land Transfer lots to Hedgestone Investments LLC, and/or its affiliates (Developer) subject to restrictive covenants, a right of reverter, and execution of all necessary documents, pursuant to the City's Land Transfer Program - Estimated Revenue: General Fund $128,663.77; (2) the release of lien for all non-tax City liens, notices, or orders that were filed on up to 50 Land Transfer lots sold to Developer prior to or subsequent to the deeds transferring the lots to the City of Dallas; and (3) execution of a development agreement with Developer for the construction of up to 50 single-family homes on the Land Transfer lots - Estimated Revenue Foregone: $134,244.32 (see Fiscal Information)",21-364,CONSENT AGENDA,Approved,7898,"Authorize (1) the sale of up to 50 Land Transfer lots to Hedgestone Investments LLC, and/or its affiliates (Developer) subject to restrictive covenants, a right of reverter, and execution of all necessary documents, pursuant to the City's Land Transfer Program - Estimated Revenue: General Fund $128,663.77; (2) the release of lien for all non-tax City liens, notices, or orders that were filed on up to 50 Land Transfer lots sold to Developer prior to or subsequent to the deeds transferring the lots to the City of Dallas; and (3) execution of a development agreement with Developer for the construction of up to 50 single-family homes on the Land Transfer lots - Estimated Revenue Foregone: $134,244.32 (see Fiscal Information)",2021-02-19,21-0599; APPROVED,Department of Housing & Neighborhood Revitalization (HOU),Department of Housing & Neighborhood Revitalization,1,Socrata Roll Call,,,,,0,7,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/4/1877_A_City_Council_21-04-14_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/041421Min.pdf,https://dallastx.new.swagit.com/videos/201949,https://cityofdallas.legistar1.com/cityofdallas/attachments/98e818c0-802d-47ca-9626-ff89d3abd29c.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/41514cbd-f14d-43e1-a439-e3303154a093.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/3d1cd1ce-eb65-4258-98ec-c911928bf499.pdf,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,,YES,YES
1877,2021-04-14,9:00 AM,City Council,bit.ly/cityofdallastv,43522,8.,33,"Authorize a professional services contract with Henley Johnston and Associates, Inc., to provide material testing services during construction of the Street Reconstruction Groups 17-1006, 12-636, 17-1408; and Alley Reconstruction Groups 17-8004 and 17-7003 (list attached to the Agenda Information Sheet) - Not to exceed $236,580.00 - Financing: Street and Transportation (A) Fund (2017 General Obligation Bond Funds) ($218,565.00), and Street and Transportation Improvement Fund (2012 General Obligation Bond Funds) ($18,015.00)",21-314,CONSENT AGENDA,Approved,7848,"Authorize a professional services contract with Henley Johnston and Associates, Inc., to provide material testing services during construction of the Street Reconstruction Groups 17-1006, 12-636, 17-1408; and Alley Reconstruction Groups 17-8004 and 17-7003 (list attached to the Agenda Information Sheet) - Not to exceed $236,580.00 - Financing: Street and Transportation (A) Fund (2017 General Obligation Bond Funds) ($218,565.00), and Street and Transportation Improvement Fund (2012 General Obligation Bond Funds) ($18,015.00)",2021-02-16,21-0600; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,8,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/4/1877_A_City_Council_21-04-14_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/041421Min.pdf,https://dallastx.new.swagit.com/videos/201949,https://cityofdallas.legistar1.com/cityofdallas/attachments/4f5d8455-6c35-4e0c-8418-023386d7b80a.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/622c5c23-d091-444b-bb8b-73f8e3456829.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/e0513da3-cba2-4d4c-954f-c8e7318b9537.docx,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,,YES,YES
