event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam Bazaldua,Adam McGough,Cara Mendelsohn,Carolyn King Arnold,Casey Thomas II,Chad West,Eric Johnson,Gay Donnell Willis,Jaime Resendez,Jaynie Shultz,Jesse Moreno,Omar Narvaez,Paul Ridley,Paula Blackmon,Tennell Atkins
,2021-10-05,,City Council,,,1,,"Approval of Minutes of the September 1, 2021 City Council Meeting",,,,,,,,,,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2021/100521Min.pdf,,,YES,YES,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT
,2021-10-05,,City Council,,,2,,"Consideration of appointments to boards   and   commissions   and   the evaluation and duties of board and commission members (List of nominees is available in the City Secretary's Office)
[CHAIR APPOINTMENTS: BENJAMIN SETNICK - CHAIR, PEMIT AND LICENSE APPEAL BOARD; MELANIE RUBIN - CHAIR, COMMUNITY DEVELOPMENT COMMISSION; DAVE NEUMANN - CHAIR, BOARD OF ADJUSTMENT; JESUOROBO ENOBAKHARE - CHAIR, COMMUNITY POLICE OVERSIGHT BOARD; BRENT RUBIN - CHAIR, CITY PLAN COMMISSION.]",,,,,,,,,,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2021/100521Min.pdf,,,YES,YES,YES,YES,AWVT,YES,ABST,YES,YES,YES,YES,YES,YES,YES,YES
1899,2021-10-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",48527,,1,"AGENDA 
CITY COUNCIL MEETING
WEDNESDAY, OCTOBER 13, 2021
ORDER OF BUSINESS

The City Council meeting will be held by videoconference and in the Council Chambers, 6th Floor at City Hall.    Individuals who wish to speak in accordance with the City Council Rules of Procedure must sign up with the City Secretary’s Office.  

The public is encouraged to attend the meeting virtually; however, City Hall is available for those wishing to attend the meeting in person following all current pandemic-related public health protocols. 

The following videoconference link is available to the public  to listen to the meeting and Public Affairs and Outreach will also stream the City Council meeting on Spectrum Cable Channel 95 and bit.ly/cityofdallastv: 
https://dallascityhall.webex.com/dallascityhall/j.php?MTID=mf5a727270dd164bc2267fd6b83838691",,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/10/1899_A_City_Council_21-10-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/101321Min.pdf,https://dallastx.new.swagit.com/videos/201935,,,,,,,,,,,,,,,,
1899,2021-10-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",48528,,2,Public hearings will not be heard before 1:00 p.m.,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/10/1899_A_City_Council_21-10-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/101321Min.pdf,https://dallastx.new.swagit.com/videos/201935,,,,,,,,,,,,,,,,
1899,2021-10-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",48529,,3,INVOCATION AND PLEDGE OF ALLEGIANCE,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/10/1899_A_City_Council_21-10-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/101321Min.pdf,https://dallastx.new.swagit.com/videos/201935,,,,,,,,,,,,,,,,
1899,2021-10-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",48530,,4,OPEN MICROPHONE,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/10/1899_A_City_Council_21-10-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/101321Min.pdf,https://dallastx.new.swagit.com/videos/201935,,,,,,,,,,,,,,,,
1899,2021-10-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",48531,,5,MINUTES,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/10/1899_A_City_Council_21-10-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/101321Min.pdf,https://dallastx.new.swagit.com/videos/201935,,,,,,,,,,,,,,,,
1899,2021-10-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",48532,,6,CONSENT AGENDA,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/10/1899_A_City_Council_21-10-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/101321Min.pdf,https://dallastx.new.swagit.com/videos/201935,,,,,,,,,,,,,,,,
1899,2021-10-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",49014,,7,DELETIONS,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/10/1899_A_City_Council_21-10-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/101321Min.pdf,https://dallastx.new.swagit.com/videos/201935,,,,,,,,,,,,,,,,
1899,2021-10-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",48534,,8,ITEMS FOR INDIVIDUAL CONSIDERATION,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2021/10/1899_A_City_Council_21-10-13_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2021/101321Min.pdf,https://dallastx.new.swagit.com/videos/201935,,,,,,,,,,,,,,,,
