event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam Bazaldua,Adam McGough,Cara Mendelsohn,Carolyn King  Arnold,Carolyn King Arnold,Casey Thomas II,Chad West,Eric Johnson,Gay Donnell Willis,Jaime Resendez,Jaynie Shultz,Jesse Moreno,Omar Narvaez,Paul Ridley,Paula Blackmon,Tennell Atkins
,2022-04-06,,City Council,,,1,,"Approval of Minutes of the March 2, 2022 City Council Meeting",,,,,,,,,,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/040622Min.pdf,,,YES,YES,YES,,YES,YES,ABSNT,YES,YES,YES,YES,YES,YES,YES,ABSNT,YES
,2022-04-06,,City Council,,,2,,"Consideration of appointments to boards and commissions and the evaluation and duties of board and commission members (List of nominees is available in the City Secretary's Office)
[Officer Appointment - Christopher Mian Aslam, Chair, Reinvestment Zone Three Board (Oak Cliff Gateway)",,,,,,,,,,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/040622Min.pdf,,,YES,YES,YES,,YES,YES,ABSNT,ABST,YES,YES,YES,YES,YES,YES,ABSNT,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52099,1.,15,"Approval of Minutes of the March 9, 2022 City Council Meeting",22-636,VOTING AGENDA,Approved,10480,"Approval of Minutes of the March 9, 2022 City Council Meeting",2022-03-01,22-0522; APPROVED,City Secretary's Office (SEC),City Secretary's Office,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,,YES,YES,YES,,YES,YES,YES,YES,YES,AWVT,YES,YES,AWVT,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52104,2.,18,"Authorize (1) an agreement with Oncor Delivery Electric Company LLC (Oncor) for the City of Dallas to participate in the Oncor Commercial Solar Program which offers rebates for installing solar on City owned facilities; (2) an amendment to the agreement with Oncor, for City of Dallas to participate in the 2022 Oncor Commercial Standard Offer Program which provides cash incentives for implementing energy efficiency measures at City facilities; (3) the receipt and deposit of funds in an estimated amount of $290,000.00 in the Capital Construction Fund; and (4) execution of both agreements with Oncor - Estimated Revenue: Capital Construction Fund $290,000.00",22-525,CONSENT AGENDA,Approved,10369,"Authorize (1) an agreement with Oncor Delivery Electric Company LLC (Oncor) for the City of Dallas to participate in the Oncor Commercial Solar Program which offers rebates for installing solar on City owned facilities; (2) an amendment to the agreement with Oncor, for City of Dallas to participate in the 2022 Oncor Commercial Standard Offer Program which provides cash incentives for implementing energy efficiency measures at City facilities; (3) the receipt and deposit of funds in an estimated amount of $290,000.00 in the Capital Construction Fund; and (4) execution of both agreements with Oncor - Estimated Revenue: Capital Construction Fund $290,000.00",2022-02-09,22-0524; APPROVED,Building Services Department (BSD),Building Services Department,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/7a542b20-256d-4a94-8205-d92111128da5.docx,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52103,3.,19,"Authorize a construction services contract for the installation of solar photovoltaic systems at multiple City facilities with Ameresco, Inc. through The Interlocal Purchasing System Contract No. 210203 Part 2 - Not to exceed $993,938.28 - Financing:  Capital Construction Fund ($500,000.00) and Coronavirus State and Local Fiscal Recovery Funds ($493,938.28)",22-436,CONSENT AGENDA,Approved,10280,"Authorize a construction services contract for the installation of solar photovoltaic systems at multiple City facilities with Ameresco, Inc. through The Interlocal Purchasing System Contract No. 210203 Part 2 - Not to exceed $993,938.28 - Financing:  Capital Construction Fund ($500,000.00) and Coronavirus State and Local Fiscal Recovery Funds ($493,938.28)",2022-01-28,22-0525; APPROVED,Building Services Department (BSD),Building Services Department,1,Socrata Roll Call,,,,,0,3,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/78d5e6d8-585e-4102-a07c-49e6e633a370.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/287620e7-49ec-4270-908b-6f41edf7fb62.pdf,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52102,4.,20,"Authorize a service contract for the installation of fully operational high-efficiency lighting systems at multiple City facilities with Facility Solutions Group, Inc. through The Interlocal Purchasing System Contract No. 210601 Part 2 - Not to exceed $1,030,577.00 - Financing:  Capital Construction Fund ($524,515.00) and Coronavirus State and Local Fiscal Recovery Funds ($506,062.00)",22-404,CONSENT AGENDA,Approved,10248,"Authorize a service contract for the installation of fully operational high-efficiency lighting systems at multiple City facilities with Facility Solutions Group, Inc. through The Interlocal Purchasing System Contract No. 210601 Part 2 - Not to exceed $1,030,577.00 - Financing:  Capital Construction Fund ($524,515.00) and Coronavirus State and Local Fiscal Recovery Funds ($506,062.00)",2022-01-21,22-0526; APPROVED,Building Services Department (BSD),Building Services Department,1,Socrata Roll Call,,,,,0,4,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/8a4da23c-716f-4868-8787-bae0d67f0513.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/2f325041-3a59-434f-b0e3-8df126924117.pdf,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52244,5.,23,"Authorize settlement of the lawsuit styled Modupe Onikosi, Individually, and As Next Friend to Minor, A.O. v. City of Dallas, Cause No. DC-21-04462 - Not to exceed $28,000.00 - Financing:  Liability Reserve Fund",22-779,CONSENT AGENDA,Approved,10623,"Authorize settlement of the lawsuit styled Modupe Onikosi, Individually, and As Next Friend to Minor, A.O. v. City of Dallas, Cause No. DC-21-04462 - Not to exceed $28,000.00 - Financing:  Liability Reserve Fund",2022-03-23,22-0527; APPROVED,City Attorney's Office (ATT),City Attorney's Office,1,Socrata Roll Call,,,,,0,5,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/147ae5d3-7180-4425-b2ea-028b609c906c.docx,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52106,6.,24,"Authorize Supplemental Agreement No. 2 to the professional services contract with Fanning Harper Martinson Brandt & Kutchin, P.C. to provide additional legal counsel, advice and representation for Dallas Police Department Police Sergeant Matthew Terry, in connection with the lawsuit styled Otis Davis, et al. v. Matthew Terry, No. 3:16-CV-2548-L - Not to exceed $125,000.00, from $150,000.00 to $275,000.00 - Financing:   Liability Reserve Fund",22-709,CONSENT AGENDA,Approved,10553,"Authorize Supplemental Agreement No. 2 to the professional services contract with Fanning Harper Martinson Brandt & Kutchin, P.C. to provide additional legal counsel, advice and representation for Dallas Police Department Police Sergeant Matthew Terry, in connection with the lawsuit styled Otis Davis, et al. v. Matthew Terry, No. 3:16-CV-2548-L - Not to exceed $125,000.00, from $150,000.00 to $275,000.00 - Financing:   Liability Reserve Fund",2022-03-14,22-0528; APPROVED,City Attorney's Office (ATT),City Attorney's Office,1,Socrata Roll Call,,,,,0,6,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/65e0a1ad-2e49-4fa8-b1c2-bbe1bacac4b8.docx,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52108,7.,26,"Ordinances authorizing the issuance and sale of City of Dallas, Texas Waterworks and Sewer System Revenue Bonds, Series 2022A, in the amount of $22,000,000 and City of Dallas, Texas Waterworks and Sewer System Revenue Bonds, Series 2022B, in the amount of $44,000,000 to the Texas Water Development Board; approving the execution of the agreements in connection with the sale of the bonds; and all other matters related thereto - Total not to exceed $263,420 - Financing: Dallas Water Utilities Fund",22-101,CONSENT AGENDA,Approved,9947,"Ordinances authorizing the issuance and sale of City of Dallas, Texas Waterworks and Sewer System Revenue Bonds, Series 2022A, in the amount of $22,000,000 and City of Dallas, Texas Waterworks and Sewer System Revenue Bonds, Series 2022B, in the amount of $44,000,000 to the Texas Water Development Board; approving the execution of the agreements in connection with the sale of the bonds; and all other matters related thereto - Total not to exceed $263,420 - Financing: Dallas Water Utilities Fund",2021-12-06,22-0529; ORDINANCE NOS. 32166 AND 32167,City Controller's Office (CCO),City Controller's Office,1,Socrata Roll Call,,,,,0,7,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/0b57b05d-3b7d-4435-8483-b905298b7240.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/dc4778c7-fe4a-4db7-b69a-8839217a72fe.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/2fcaccbf-c781-4b58-9e78-770f32195308.pdf,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2065,2022-04-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",52215,8.,28,"An ordinance amending Chapter 8A, “Boarding Home Facilities,” of the Dallas City Code by amending Section 8A-40; (1) providing a penalty of a Class B misdemeanor for operating a boarding home facility in the city without a license; (2) providing a saving clause; (3) proving a severability clause; and (4) providing an effective date - Financing: No cost consideration to the City (see Fiscal Information)",22-718,CONSENT AGENDA,Approved as an Individual Item,10562,"An ordinance amending Chapter 8A, “Boarding Home Facilities,” of the Dallas City Code by amending Section 8A-40; (1) providing a penalty of a Class B misdemeanor for operating a boarding home facility in the city without a license; (2) providing a saving clause; (3) proving a severability clause; and (4) providing an effective date - Financing: No cost consideration to the City (see Fiscal Information)",2022-03-15,22-0530; APPROVED AS AN INDIVIDUAL ITEM; ORDINANCE 32168,Department of Code Compliance (CCS),Department of Code Compliance,1,Socrata Roll Call,,,,,0,8,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2022/041322Min.pdf,https://dallastx.new.swagit.com/videos/201969,https://cityofdallas.legistar1.com/cityofdallas/attachments/e96a0c5f-d966-4297-9683-30d719d393cd.pdf,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
