event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam Bazaldua,Adam McGough,Cara Mendelsohn,Carolyn King  Arnold,Casey Thomas II,Chad West,Eric Johnson,Gay Donnell Willis,Jaime Resendez,Jaynie Shultz,Jesse Moreno,Omar Narvaez,Paul Ridley,Paula Blackmon,Tennell Atkins
2106,2022-10-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",57589,1.,16,"Approval of Minutes of the September 28, 2022 City Council Meeting",22-1358,VOTING AGENDA,Approved,11199,"Approval of Minutes of the September 28, 2022 City Council Meeting",2022-05-27,22-1522;APPROVED,City Secretary's Office (SEC),City Secretary's Office,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2022/10/2106_A_City_Council_22-10-12_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2022/101222Min.pdf,https://dallastx.new.swagit.com/videos/201981,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2106,2022-10-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",58496,2.,19,"A resolution denying rates as requested by Oncor Electric Delivery Company LLC in its May 13, 2022, application to change rates within the City of Dallas - Financing: This action has no cost consideration to the City (see Fiscal Information)",22-1769,CONSENT AGENDA,Approved,11605,"A resolution denying rates as requested by Oncor Electric Delivery Company LLC in its May 13, 2022, application to change rates within the City of Dallas - Financing: This action has no cost consideration to the City (see Fiscal Information)",2022-08-03,22-1524; APPROVED,Budget and Management Services (BMS),Budget and Management Services,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2022/10/2106_A_City_Council_22-10-12_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2022/101222Min.pdf,https://dallastx.new.swagit.com/videos/201981,https://cityofdallas.legistar1.com/cityofdallas/attachments/b1c80531-4685-491b-94e5-945ee20819b2.doc,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2106,2022-10-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",57634,3.,20,"Authorize payment of (1) annual membership fees and continuation of arrangements for providing specialized municipal-related services to Forrester Research, Inc. in the amount of $675,656.34; (2) annual membership fees and continuation of arrangements for providing specialized municipal-related services to Water Research Foundation in the amount of $413,381.00; (3) annual membership fees and continuation of arrangements for providing specialized municipal-related services to Oncor Cities Steering Committee in the amount of $147,955.17; (4) annual membership fees and continuation of arrangements for providing specialized municipal-related services to North Central Texas Council of Governments in the amount of $141,461.00; and (5) a three year annual membership fees and continuation of arrangements for providing specialized municipal-related services to Gartner, Inc. in the amount of $4,097,985.00 (subject to annual appropriations) - Total not to exceed $5,476,438.51 - Financing: General Fund ($289,416.17), Data Services Fund ($4,773,641.34), and Dallas Water Utilities Fund ($413,381.00)",22-1923,CONSENT AGENDA,Approved as an Individual Item,11755,"Authorize payment of (1) annual membership fees and continuation of arrangements for providing specialized municipal-related services to Forrester Research, Inc. in the amount of $675,656.34; (2) annual membership fees and continuation of arrangements for providing specialized municipal-related services to Water Research Foundation in the amount of $413,381.00; (3) annual membership fees and continuation of arrangements for providing specialized municipal-related services to Oncor Cities Steering Committee in the amount of $147,955.17; (4) annual membership fees and continuation of arrangements for providing specialized municipal-related services to North Central Texas Council of Governments in the amount of $141,461.00; and (5) a three year annual membership fees and continuation of arrangements for providing specialized municipal-related services to Gartner, Inc. in the amount of $4,097,985.00 (subject to annual appropriations) - Total not to exceed $5,476,438.51 - Financing: General Fund ($289,416.17), Data Services Fund ($4,773,641.34), and Dallas Water Utilities Fund ($413,381.00)",2022-08-18,22-1525; APPROVED AS AN INDIVIDUAL ITEM,Budget and Management Services (BMS),Budget and Management Services,1,Socrata Roll Call,,,,,0,3,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2022/10/2106_A_City_Council_22-10-12_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2022/101222Min.pdf,https://dallastx.new.swagit.com/videos/201981,https://cityofdallas.legistar1.com/cityofdallas/attachments/fcf78c6d-ff17-4e87-9dbe-d522572da8cb.docx,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2106,2022-10-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",57904,4.,23,"Authorize (1) the sale of up to five Land Transfer Program lots to Women That Soar LLC, and/or its affiliates (Developer) subject to restrictive covenants, a right of reverter, and execution and recording of all necessary documents, pursuant to the City's Land Transfer Program; (2) the release of lien for all non-tax City liens, notices, or orders that were filed on up to five Land Transfer Program lots sold to Developer prior to or subsequent to the deeds transferring the lots to the City of Dallas; and (3) execution of a development agreement with Developer for the construction of up to five single-family homes on the Land Transfer Program lots - Estimated Revenue: General Fund $6,500.00; Estimated Revenue Foregone: General Fund $13,992.74 (see Fiscal Information)",22-2178,CONSENT AGENDA,Approved,12010,"Authorize (1) the sale of up to five Land Transfer Program lots to Women That Soar LLC, and/or its affiliates (Developer) subject to restrictive covenants, a right of reverter, and execution and recording of all necessary documents, pursuant to the City's Land Transfer Program; (2) the release of lien for all non-tax City liens, notices, or orders that were filed on up to five Land Transfer Program lots sold to Developer prior to or subsequent to the deeds transferring the lots to the City of Dallas; and (3) execution of a development agreement with Developer for the construction of up to five single-family homes on the Land Transfer Program lots - Estimated Revenue: General Fund $6,500.00; Estimated Revenue Foregone: General Fund $13,992.74 (see Fiscal Information)",2022-09-16,22-1526; APPROVED,Department of Housing & Neighborhood Revitalization (HOU),Department of Housing & Neighborhood Revitalization,1,Socrata Roll Call,,,,,0,4,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2022/10/2106_A_City_Council_22-10-12_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2022/101222Min.pdf,https://dallastx.new.swagit.com/videos/201981,https://cityofdallas.legistar1.com/cityofdallas/attachments/7c130e66-380d-4521-9bad-58c5ac480078.docx|https://cityofdallas.legistar1.com/cityofdallas/attachments/0efb7412-8815-4211-8777-efaa5ff26113.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/ef88a03a-7dd7-4702-9f6c-2944fc45caee.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2106,2022-10-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",57603,5.,25,"Authorize a five-year lease agreement, with two five-year renewal options, with New Cingular Wireless PCS, LLC, for approximately 391 square feet of City-owned land located at 8791 Greenville Avenue to be used as a cellular transmission and receiving facility for the period January 1, 2023 through December 31, 2027 - Estimated Revenue: General Fund $378,048.00",22-2024,CONSENT AGENDA,Approved,11856,"Authorize a five-year lease agreement, with two five-year renewal options, with New Cingular Wireless PCS, LLC, for approximately 391 square feet of City-owned land located at 8791 Greenville Avenue to be used as a cellular transmission and receiving facility for the period January 1, 2023 through December 31, 2027 - Estimated Revenue: General Fund $378,048.00",2022-09-02,22-1527; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,5,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2022/10/2106_A_City_Council_22-10-12_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2022/101222Min.pdf,https://dallastx.new.swagit.com/videos/201981,https://cityofdallas.legistar1.com/cityofdallas/attachments/a0bf2b94-cba2-4f2f-b872-c916a7411a17.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/7aa57cd2-e92c-41a4-82e8-be21685a6216.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2106,2022-10-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",57604,6.,26,"Authorize a five-year lease agreement, with two five-year renewal options, with New Cingular Wireless PCS, LLC, for approximately 500 square feet of City-owned land located at 2426 Elsie Faye Heggins Street to be used as a cellular transmission and receiving facility for the period January 1, 2023 through December 31, 2027 - Estimated Revenue: General Fund $412,968.00",22-2025,CONSENT AGENDA,Approved,11857,"Authorize a five-year lease agreement, with two five-year renewal options, with New Cingular Wireless PCS, LLC, for approximately 500 square feet of City-owned land located at 2426 Elsie Faye Heggins Street to be used as a cellular transmission and receiving facility for the period January 1, 2023 through December 31, 2027 - Estimated Revenue: General Fund $412,968.00",2022-09-02,22-1528; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,6,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2022/10/2106_A_City_Council_22-10-12_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2022/101222Min.pdf,https://dallastx.new.swagit.com/videos/201981,https://cityofdallas.legistar1.com/cityofdallas/attachments/5570ac32-f5ec-42fc-85b0-688765c8ca1c.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/1f357cbc-78bf-45a2-a45b-67709ca095df.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2106,2022-10-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",57605,7.,27,"Authorize a five-year lease agreement, with two five-year renewal options, with New Cingular Wireless PCS, LLC, for approximately 700 square feet of City-owned land located at 7040 Belt Line Road to be used as a cellular transmission and receiving facility for the period January 1, 2023 through December 31, 2027 - Estimated Revenue: General Fund $477,144.00",22-2026,CONSENT AGENDA,Approved,11858,"Authorize a five-year lease agreement, with two five-year renewal options, with New Cingular Wireless PCS, LLC, for approximately 700 square feet of City-owned land located at 7040 Belt Line Road to be used as a cellular transmission and receiving facility for the period January 1, 2023 through December 31, 2027 - Estimated Revenue: General Fund $477,144.00",2022-09-02,22-1529; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,7,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2022/10/2106_A_City_Council_22-10-12_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2022/101222Min.pdf,https://dallastx.new.swagit.com/videos/201981,https://cityofdallas.legistar1.com/cityofdallas/attachments/716a856e-92ce-4aec-8bfa-89157a89a4ce.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/81e43feb-77f9-43b4-976d-89fba73a5a39.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2106,2022-10-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",57607,8.,28,"Authorize acquisition from Nancy Ruth Lander and John B. Reece, of approximately 15,065 square feet of land located near the intersection of Military Parkway and Scottsdale Drive for the Dallas Water Utilities Distribution Division Scottsdale Drive Project - Not to exceed $78,500.00 ($75,000.00, plus closing costs and title expenses not to exceed $3,500.00) - Financing: Water Construction Fund",22-2043,CONSENT AGENDA,Approved,11875,"Authorize acquisition from Nancy Ruth Lander and John B. Reece, of approximately 15,065 square feet of land located near the intersection of Military Parkway and Scottsdale Drive for the Dallas Water Utilities Distribution Division Scottsdale Drive Project - Not to exceed $78,500.00 ($75,000.00, plus closing costs and title expenses not to exceed $3,500.00) - Financing: Water Construction Fund",2022-09-06,22-1530; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,8,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2022/10/2106_A_City_Council_22-10-12_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2022/101222Min.pdf,https://dallastx.new.swagit.com/videos/201981,https://cityofdallas.legistar1.com/cityofdallas/attachments/316c2750-9ec8-4d2e-aa84-9727f3d5c4e5.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/5115e916-089c-475d-b6b7-ccc8ae3ff186.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/9b2df3b0-5116-43aa-a0f2-74a6c55036cb.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/79bfa82f-361c-4d14-9e47-3835ca2d033c.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2106,2022-10-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",57609,9.,29,"Authorize acquisition of a wastewater easement from Covenant Funding Group II, LLC, of approximately 34,424 square feet of land located near the intersection of Woody Road and CF Hawn Freeway for the DWU Contract 10-205/206E Water and Wastewater Main Replacement Project - Not to exceed $29,000.00 ($25,000.00, plus closing costs and title expenses not to exceed $4,000.00) - Financing: Water Utilities Capital Improvement F Fund",22-2065,CONSENT AGENDA,Approved,11897,"Authorize acquisition of a wastewater easement from Covenant Funding Group II, LLC, of approximately 34,424 square feet of land located near the intersection of Woody Road and CF Hawn Freeway for the DWU Contract 10-205/206E Water and Wastewater Main Replacement Project - Not to exceed $29,000.00 ($25,000.00, plus closing costs and title expenses not to exceed $4,000.00) - Financing: Water Utilities Capital Improvement F Fund",2022-09-07,22-1531; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,9,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2022/10/2106_A_City_Council_22-10-12_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2022/101222Min.pdf,https://dallastx.new.swagit.com/videos/201981,https://cityofdallas.legistar1.com/cityofdallas/attachments/23928eb9-4e9a-4d91-b0fe-479a80d30198.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/797b1a37-5051-4fac-8282-4285dd0d60bc.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/40cea146-86ee-4cae-9610-942013ca982c.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/42efbc9e-1d7d-417f-97e4-802488ba4da8.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2106,2022-10-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",57606,10.,30,"Authorize an amendment to an existing lease agreement with MacArthur Center Irving, LLC, to extend the lease agreement for an additional five-years for approximately 6,854 square feet of office and clinic space located at 1111 West Airport Freeway, Suite 237, Irving, Texas, to be used as a Women, Infants and Children Clinic for the period October 1, 2022 through September 30, 2027 - Not to exceed $446,344.92 - Financing: Health and Human Services Commission Grant Funds (subject to annual appropriations)",22-2041,CONSENT AGENDA,Approved,11873,"Authorize an amendment to an existing lease agreement with MacArthur Center Irving, LLC, to extend the lease agreement for an additional five-years for approximately 6,854 square feet of office and clinic space located at 1111 West Airport Freeway, Suite 237, Irving, Texas, to be used as a Women, Infants and Children Clinic for the period October 1, 2022 through September 30, 2027 - Not to exceed $446,344.92 - Financing: Health and Human Services Commission Grant Funds (subject to annual appropriations)",2022-09-06,22-1532; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,10,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2022/10/2106_A_City_Council_22-10-12_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2022/101222Min.pdf,https://dallastx.new.swagit.com/videos/201981,https://cityofdallas.legistar1.com/cityofdallas/attachments/39949406-44ac-41a2-8d24-16f8140f1947.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/0c3064eb-14e0-49aa-a96d-e254eb594642.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
