event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam  Bazaldua,Adam Bazaldua,Adam McGough,Cara Mendelsohn,Carolyn King  Arnold,Carolyn King Arnold,Casey Thomas II,Chad West,Eric Johnson,Gay Donnell Willis,Jaime Resendez,Jaynie Shultz,Jesse Moreno,Kathy Stewart,Omar Narvaez,Paul Ridley,Paula Blackmon,Tennell  Atkins,Tennell Atkins,Zarin Gracey
,2023-04-04,,City Council,,,1,,"Approval of Minutes of the March 1, 2023 City Council Meeting",,,,,,,,,,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,,http://citysecretary2.dallascityhall.com/pdf/CC2023/040423Min.pdf,,,,AWVT,AWVT,YES,YES,,ABSNT,YES,YES,YES,YES,YES,YES,,YES,YES,YES,,ABSNT,
,2023-04-04,,City Council,,,2,,"Consideration of appointments to boards and commissions and the evaluation and duties of board and commission members (List of nominees is available in the City Secretary's Office)
[FULL COUNCIL AND INDIVIDUAL APPOINTMENTS]",,,,,,,,,,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,,http://citysecretary2.dallascityhall.com/pdf/CC2023/040423Min.pdf,,,,YES,YES,YES,YES,,ABSNT,YES,YES,YES,YES,YES,YES,,YES,YES,YES,,ABSNT,
,2023-04-04,,City Council,,,3,,"Casting of lots to identify the recommended vendor resulting from tie bids between Colonial Hardware Corporation and Sid Tools Co., Inc. dba MSC Industrial Supply Co. on Line 100 in response to bid BV22-00020023 for a three-year master agreement for the purchase of hand and power tools and supplies
[Sid Tools Co., Inc. dba MSC Industrial Supply Co.]",,,,,,,,,,,Socrata Roll Call,,,,,0,3,AGENDA,NO ACTION NEEDED,,http://citysecretary2.dallascityhall.com/pdf/CC2023/040423Min.pdf,,,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,N/A,
2544,2023-04-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",64550,,1,"AGENDA 
CITY COUNCIL MEETING
WEDNESDAY, APRIL 12, 2023
ORDER OF BUSINESS



",,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/4/2544_A_City_Council_23-04-12_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/041223Min.pdf,https://dallastx.new.swagit.com/videos/223889,,,,,,,,,,,,,,,,,,,,,
2544,2023-04-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",64551,,2,"The City Council meeting will be held by videoconference and in the Council Chambers, 6th Floor at City Hall.    Individuals who wish to speak in accordance with the City Council Rules of Procedure must sign up with the City Secretary’s Office.  

The public is encouraged to attend the meeting virtually; however, City Hall is available for those wishing to attend the meeting in person following all current pandemic-related public health protocols. 

The following videoconference link is available to the public to listen to the meeting and Public Affairs and Outreach will also stream the City Council meeting on Spectrum Cable Channel 16 and bit.ly/cityofdallastv: https://dallascityhall.webex.com/dallascityhall/j.php?MTID=m34c6ca3745fc49295f5a51d49a7beb9d",,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/4/2544_A_City_Council_23-04-12_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/041223Min.pdf,https://dallastx.new.swagit.com/videos/223889,,,,,,,,,,,,,,,,,,,,,
2544,2023-04-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",64552,,3,Public hearings will not be heard before 1:00 p.m.,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/4/2544_A_City_Council_23-04-12_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/041223Min.pdf,https://dallastx.new.swagit.com/videos/223889,,,,,,,,,,,,,,,,,,,,,
2544,2023-04-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",64553,,4,INVOCATION AND PLEDGE OF ALLEGIANCE,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/4/2544_A_City_Council_23-04-12_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/041223Min.pdf,https://dallastx.new.swagit.com/videos/223889,,,,,,,,,,,,,,,,,,,,,
2544,2023-04-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",64554,,5,OPEN MICROPHONE,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/4/2544_A_City_Council_23-04-12_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/041223Min.pdf,https://dallastx.new.swagit.com/videos/223889,,,,,,,,,,,,,,,,,,,,,
2544,2023-04-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",64555,,6,MINUTES,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/4/2544_A_City_Council_23-04-12_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/041223Min.pdf,https://dallastx.new.swagit.com/videos/223889,,,,,,,,,,,,,,,,,,,,,
2544,2023-04-12,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",64556,,7,CONSENT AGENDA,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/4/2544_A_City_Council_23-04-12_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/041223Min.pdf,https://dallastx.new.swagit.com/videos/223889,,,,,,,,,,,,,,,,,,,,,
