event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam  Bazaldua,Cara Mendelsohn,Carolyn King Arnold,Chad West,Eric Johnson,Gay Donnell Willis,Jaime Resendez,Jaynie Shultz,Jesse Moreno,Kathy Stewart,Omar Narvaez,Paul Ridley,Paula Blackmon,Tennell  Atkins,Zarin Gracey
2561,2023-08-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",68846,,1,"AGENDA 
CITY COUNCIL MEETING
WEDNESDAY, AUGUST 9, 2023
ORDER OF BUSINESS



",,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/8/2561_A_City_Council_23-08-09_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/080923Min.pdf,https://dallastx.new.swagit.com/videos/268809,,,,,,,,,,,,,,,,
2561,2023-08-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",68740,,2,"The City Council meeting will be held by videoconference and in the Council Chambers, 6th Floor at City Hall.    Individuals who wish to speak in accordance with the City Council Rules of Procedure must sign up with the City Secretary’s Office.  

The public is encouraged to attend the meeting virtually; however, City Hall is available for those wishing to attend the meeting in person following all current pandemic-related public health protocols. 

The following videoconference link is available to the public to listen to the meeting and Public Affairs and Outreach will also stream the City Council meeting on Spectrum Cable Channel 16 and bit.ly/cityofdallastv: https://dallascityhall.webex.com/dallascityhall/j.php?MTID=m460fae60a2584e3977650ad5165f754f",,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/8/2561_A_City_Council_23-08-09_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/080923Min.pdf,https://dallastx.new.swagit.com/videos/268809,,,,,,,,,,,,,,,,
2561,2023-08-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",68741,,3,Public hearings will not be heard before 1:00 p.m.,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/8/2561_A_City_Council_23-08-09_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/080923Min.pdf,https://dallastx.new.swagit.com/videos/268809,,,,,,,,,,,,,,,,
2561,2023-08-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",68742,,4,INVOCATION AND PLEDGE OF ALLEGIANCE,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/8/2561_A_City_Council_23-08-09_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/080923Min.pdf,https://dallastx.new.swagit.com/videos/268809,,,,,,,,,,,,,,,,
2561,2023-08-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",68743,,5,OPEN MICROPHONE,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/8/2561_A_City_Council_23-08-09_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/080923Min.pdf,https://dallastx.new.swagit.com/videos/268809,,,,,,,,,,,,,,,,
2561,2023-08-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",68744,,6,MINUTES,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/8/2561_A_City_Council_23-08-09_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/080923Min.pdf,https://dallastx.new.swagit.com/videos/268809,,,,,,,,,,,,,,,,
2561,2023-08-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",68745,,7,CONSENT AGENDA,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/8/2561_A_City_Council_23-08-09_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/080923Min.pdf,https://dallastx.new.swagit.com/videos/268809,,,,,,,,,,,,,,,,
2561,2023-08-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",69327,,8,DELETIONS,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/8/2561_A_City_Council_23-08-09_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/080923Min.pdf,https://dallastx.new.swagit.com/videos/268809,,,,,,,,,,,,,,,,
2561,2023-08-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",68747,,9,ITEMS FOR INDIVIDUAL CONSIDERATION,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/8/2561_A_City_Council_23-08-09_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/080923Min.pdf,https://dallastx.new.swagit.com/videos/268809,,,,,,,,,,,,,,,,
2561,2023-08-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",69161,,10,ADDITIONS,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2023/8/2561_A_City_Council_23-08-09_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2023/080923Min.pdf,https://dallastx.new.swagit.com/videos/268809,,,,,,,,,,,,,,,,
