event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam  Bazaldua,Cara Mendelsohn,Carolyn King Arnold,Chad West,Eric Johnson,Gay Donnell Willis,Jaime Resendez,Jaynie Shultz,Jesse Moreno,Kathy Stewart,Omar Narvaez,Paul Ridley,Paula Blackmon,Tennell  Atkins,Zarin Gracey
,2024-04-03,,City Council,,,1,,"Approval of Minutes of the March 6, 2024 City Council Meeting",,,,,,,,,,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,,http://citysecretary2.dallascityhall.com/pdf/CC2024/040324Min.pdf,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
,2024-04-03,,City Council,,,2,,Consideration of appointments to boards and commissions and the evaluation and duties of board and commission members (List of nominees is available in the City Secretary's Office),,,,,,,,,,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,,http://citysecretary2.dallascityhall.com/pdf/CC2024/040324Min.pdf,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2951,2024-04-10,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",77508,1.,17,"Approval of Minutes of the March 27, 2024 City Council Meeting",24-1066,VOTING AGENDA,Approved,17047,"Approval of Minutes of the March 27, 2024 City Council Meeting",2024-03-18,24-0512; APPROVED,City Secretary's Office (SEC),City Secretary's Office,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2024/4/2951_A_City_Council_24-04-10_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2024/041024Min.pdf,https://dallastx.new.swagit.com/videos/302332,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
2951,2024-04-10,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",77364,2.,20,"Authorize (1) settlement of the claim asserted by the City of Dallas against surety Atlantic Specialty Insurance Company, a wholly owned subsidiary of Intact Insurance Group USA Holdings, Inc., a wholly owned subsidiary of Intact Financial Corporation, for Sisters Asphalt, Inc. d/b/a SAI Construction’s failure to complete construction under Dallas Water Utilities Contract No. 20-473/474 (DWU-2021-00016990) in an amount not to exceed $4,333,680.00; (2) cancellation of Dallas Water Utilities Contract No. 20-473/474 (DWU-2021-00016990) with Sisters Asphalt, Inc. d/b/a SAI Construction; and (3) the receipt and deposit of funds in an amount not to exceed $2,221,321.60 in Water Construction Fund and $2,112,358.40 in Wastewater Construction Fund - Estimated Revenue: Water Construction Fund ($2,221,321.60) and Wastewater Construction Fund ($2,112,358.40)",24-1036,CONSENT AGENDA,Approved,17017,"Authorize (1) settlement of the claim asserted by the City of Dallas against surety Atlantic Specialty Insurance Company, a wholly owned subsidiary of Intact Insurance Group USA Holdings, Inc., a wholly owned subsidiary of Intact Financial Corporation, for Sisters Asphalt, Inc. d/b/a SAI Construction’s failure to complete construction under Dallas Water Utilities Contract No. 20-473/474 (DWU-2021-00016990) in an amount not to exceed $4,333,680.00; (2) cancellation of Dallas Water Utilities Contract No. 20-473/474 (DWU-2021-00016990) with Sisters Asphalt, Inc. d/b/a SAI Construction; and (3) the receipt and deposit of funds in an amount not to exceed $2,221,321.60 in Water Construction Fund and $2,112,358.40 in Wastewater Construction Fund - Estimated Revenue: Water Construction Fund ($2,221,321.60) and Wastewater Construction Fund ($2,112,358.40)",2024-03-18,24-0514; APPROVED,City Attorney's Office (ATT),City Attorney's Office,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2024/4/2951_A_City_Council_24-04-10_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2024/041024Min.pdf,https://dallastx.new.swagit.com/videos/302332,https://cityofdallas.legistar1.com/cityofdallas/attachments/8be7b87f-870b-416f-9165-863a1771bfdd.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
2951,2024-04-10,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",77366,3.,22,"An ordinance amending Chapter 15D, “Emergency Vehicles”, of the Dallas City Code, by amending Section 15D-9.30; (1) providing that is an offense to follow an emergency vehicle traveling in response to an emergency call with white lights and a siren; (2) providing that it is an offense to operate a private ambulance on an emergency run or in response to an emergency call with the use of white lights and sirens without obtaining permission from the fire alarm dispatcher; (3) providing a penalty not to exceed $500.00; (4) providing a saving clause; (5) providing a severability clause; and (6) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)",24-460,CONSENT AGENDA,Approved,16457,"An ordinance amending Chapter 15D, “Emergency Vehicles”, of the Dallas City Code, by amending Section 15D-9.30; (1) providing that is an offense to follow an emergency vehicle traveling in response to an emergency call with white lights and a siren; (2) providing that it is an offense to operate a private ambulance on an emergency run or in response to an emergency call with the use of white lights and sirens without obtaining permission from the fire alarm dispatcher; (3) providing a penalty not to exceed $500.00; (4) providing a saving clause; (5) providing a severability clause; and (6) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)",2024-01-29,24-0515; APPROVED; ORDINANCE 32703,Department of Aviation (AVI),Department of Aviation,1,Socrata Roll Call,,,,,0,3,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2024/4/2951_A_City_Council_24-04-10_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2024/041024Min.pdf,https://dallastx.new.swagit.com/videos/302332,https://cityofdallas.legistar1.com/cityofdallas/attachments/fafcf42c-2f38-4033-9bdc-a8aab053d647.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
2951,2024-04-10,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",77367,4.,23,"An ordinance amending Chapter 47A, “Transportation for Hire,” of the Dallas City Code by amending Section 47A-2.4.8; (1) amending certain transportation-for-hire rates and fares; (2) providing a penalty not to exceed $500.00; (3) providing a saving clause; (4) providing a severability clause; and (5) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)",24-634,CONSENT AGENDA,Approved,16616,"An ordinance amending Chapter 47A, “Transportation for Hire,” of the Dallas City Code by amending Section 47A-2.4.8; (1) amending certain transportation-for-hire rates and fares; (2) providing a penalty not to exceed $500.00; (3) providing a saving clause; (4) providing a severability clause; and (5) providing an effective date - Financing: This action has no cost consideration to the City (see Fiscal Information)",2024-02-13,24-0516; APPROVED; ORDINANCE 32704,Department of Aviation (AVI),Department of Aviation,1,Socrata Roll Call,,,,,0,4,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2024/4/2951_A_City_Council_24-04-10_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2024/041024Min.pdf,https://dallastx.new.swagit.com/videos/302332,https://cityofdallas.legistar1.com/cityofdallas/attachments/fc090e72-0e68-40aa-9c91-202831238f0b.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
2951,2024-04-10,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",77369,5.,25,"Authorize a two-year contract with three one-year renewal option service contract, for professional consulting services with Freese and Nichols, Inc., as a Special Needs request to continue assisting with zoning and planning applications and other planning review projects - Not to exceed $722,255.00 - Financing: General Fund",24-848,CONSENT AGENDA,Approved,16829,"Authorize a two-year contract with three one-year renewal option service contract, for professional consulting services with Freese and Nichols, Inc., as a Special Needs request to continue assisting with zoning and planning applications and other planning review projects - Not to exceed $722,255.00 - Financing: General Fund",2024-02-28,24-0517; APPROVED,Department of Planning and Urban Design (PNV),Department of Planning and Urban Design,1,Socrata Roll Call,,,,,0,5,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2024/4/2951_A_City_Council_24-04-10_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2024/041024Min.pdf,https://dallastx.new.swagit.com/videos/302332,https://cityofdallas.legistar1.com/cityofdallas/attachments/49ab9dbe-2725-4501-b8f2-29de3cbd2518.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/cd7dac1c-5d36-4fa2-82d9-64b9fef53d14.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/a471b77e-e41a-430d-ac98-81d030f0becd.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
2951,2024-04-10,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",77373,6.,27,"Authorize (1) deposit of the amount awarded by the Special Commissioners in the condemnation proceedings styled City of Dallas v. Nancy Ruth Lander as Trustee of the Nancy Ruth Lander Marital Trust and John B. Reece, et al., Cause No. CC-23-00513-C, pending in Dallas County Court at Law No. 3, to acquire fee simple title of approximately 15,065 square feet of land located near the intersection of Military Parkway and Scottsdale Drive for the Dallas Water Distribution Division Scottsdale Drive Project; and (2) settlement of the condemnation proceeding for an amount not to exceed the awarded amount - Not to exceed $5,599.70, increased from $78,500.00 ($75,000.00, plus closing costs and title expenses not to exceed $3,500.00) to $84,099.70 ($81,049.70 being the award, plus closing costs and title expenses not to exceed $3,050.00) - Financing: Water Construction Fund",24-1014,CONSENT AGENDA,Approved,16995,"Authorize (1) deposit of the amount awarded by the Special Commissioners in the condemnation proceedings styled City of Dallas v. Nancy Ruth Lander as Trustee of the Nancy Ruth Lander Marital Trust and John B. Reece, et al., Cause No. CC-23-00513-C, pending in Dallas County Court at Law No. 3, to acquire fee simple title of approximately 15,065 square feet of land located near the intersection of Military Parkway and Scottsdale Drive for the Dallas Water Distribution Division Scottsdale Drive Project; and (2) settlement of the condemnation proceeding for an amount not to exceed the awarded amount - Not to exceed $5,599.70, increased from $78,500.00 ($75,000.00, plus closing costs and title expenses not to exceed $3,500.00) to $84,099.70 ($81,049.70 being the award, plus closing costs and title expenses not to exceed $3,050.00) - Financing: Water Construction Fund",2024-03-15,24-0518; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,6,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2024/4/2951_A_City_Council_24-04-10_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2024/041024Min.pdf,https://dallastx.new.swagit.com/videos/302332,https://cityofdallas.legistar1.com/cityofdallas/attachments/9982fe7d-1f80-44d0-8c6c-5566aded0aee.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/2b98631a-507f-4131-a773-4cf5a50ec774.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/d1ad4409-863a-47c2-ab1f-3f4c66c77b64.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
2951,2024-04-10,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",77770,7.,28,"Authorize acquisition from TB West Commerce LLC, of approximately 27,623 square feet of land located near the intersection of West Commerce and Herbert Streets for the West Dallas Gateway Project - Not to exceed $1,220,000.00 ($1,200,000.00, plus closing costs and title expenses not to exceed $20,000.00) - Financing: Street and Transportation (A) Fund (2017 General Obligation Bond Fund)",24-933,CONSENT AGENDA,Approved,17127,"Authorize acquisition from TB West Commerce LLC, of approximately 27,623 square feet of land located near the intersection of West Commerce and Herbert Streets for the West Dallas Gateway Project - Not to exceed $1,220,000.00 ($1,200,000.00, plus closing costs and title expenses not to exceed $20,000.00) - Financing: Street and Transportation (A) Fund (2017 General Obligation Bond Fund)",2024-03-26,24-0519; APPROVED,Department of Public Works (PBW),Department of Public Works,1,Socrata Roll Call,,,,,0,7,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2024/4/2951_A_City_Council_24-04-10_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2024/041024Min.pdf,https://dallastx.new.swagit.com/videos/302332,https://cityofdallas.legistar1.com/cityofdallas/attachments/2657e8bb-89dc-49de-9ade-64e2a503ba40.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/6b1b53b9-5fde-4070-a97c-22860aadcdc9.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/fd866b19-7923-4901-887e-fc8032c7f9e7.pdf|https://cityofdallas.legistar1.com/cityofdallas/attachments/b7da28ff-a343-402e-86fb-1d621f52b716.pdf,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
2951,2024-04-10,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL
bit.ly/cityofdallastv",77375,8.,30,"Authorize the (1) acceptance of a grant from the North Central Texas Council of Governments (NCTCOG) for Feasibility Study for Composting Facility in the amount of $163,200.00 for a composting facility technical study for the period April 22, 2024 through August 31, 2025; (2) establishment of appropriations in an amount not to exceed $163,200.00 in FY24 - North Central Texas Council of Governments Composting Study Grant Fund; (3) receipt and deposit of funds in an amount not to exceed $163,200.00 in the FY24 - North Central Texas Council of Governments Composting Study Grant Fund; and (4) execution of the grant agreement with NCTCOG and all terms, conditions and documents required by the agreement - Not to exceed $163,200.00 - Financing: FY24 - NCTCOG Composting Study Grant Fund",24-934,CONSENT AGENDA,Approved,16915,"Authorize the (1) acceptance of a grant from the North Central Texas Council of Governments (NCTCOG) for Feasibility Study for Composting Facility in the amount of $163,200.00 for a composting facility technical study for the period April 22, 2024 through August 31, 2025; (2) establishment of appropriations in an amount not to exceed $163,200.00 in FY24 - North Central Texas Council of Governments Composting Study Grant Fund; (3) receipt and deposit of funds in an amount not to exceed $163,200.00 in the FY24 - North Central Texas Council of Governments Composting Study Grant Fund; and (4) execution of the grant agreement with NCTCOG and all terms, conditions and documents required by the agreement - Not to exceed $163,200.00 - Financing: FY24 - NCTCOG Composting Study Grant Fund",2024-03-11,24-0520; APPROVED,Department of Sanitation Services (SAN),Department of Sanitation Services,1,Socrata Roll Call,,,,,0,8,AGENDA,APPROVED,https://cityofdallas.legistar1.com/cityofdallas/meetings/2024/4/2951_A_City_Council_24-04-10_COUNCIL_AGENDA.pdf,http://citysecretary2.dallascityhall.com/pdf/CC2024/041024Min.pdf,https://dallastx.new.swagit.com/videos/302332,https://cityofdallas.legistar1.com/cityofdallas/attachments/c9c4a41e-6120-414f-9fa7-e1e3052cb7e1.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
