event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam  Bazaldua,Cara Mendelsohn,Carolyn Arnold,Carolyn King Arnold,Chad West,Eric Johnson,Gay Donnel Willis,Gay Donnell Willis,Jaime Resendez,Jaynie Schultz,Jaynie Shultz,Jesse  Moreno,Jesse Moreno,Kathy Stewart,Laura Cadena,Lorie Blair,Maxie Johnson,Omar Narvaez,Paul Ridley,Paula Blackmon,Tennel Atkins,Tennell  Atkins,William Roth,Zarin D. Gracey,Zarin Gracey
,2025-04-02,,City Council,,,1,,"Approval of Minutes of the March 5, 2025 City Council Meeting",,,,,,,,,,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/040225Min.pdf,,,AWVT,YES,,AWVT,YES,YES,,YES,YES,,YES,,YES,YES,,,,YES,YES,YES,,YES,,,YES
,2025-04-02,,City Council,,,2,,"Consideration of appointments to boards and commissions and the evaluation and duties of board and commission members (List of nominees is available in the City Secretary's Office)
[Individual Appointment]",,,,,,,,,,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/040225Min.pdf,,,AWVT,YES,,AWVT,YES,YES,,YES,YES,,YES,,YES,YES,,,,YES,YES,YES,,YES,,,YES
,2025-04-02,,City Council,,,3,,"Real Estate (Sec. 551.072 T.O.M.A.) and Attorney Briefing (Sec. 551.071 T.O.M.A.) (1) Deliberate the purchase, exchange, lease, or value of real property located at 508 Young Street because deliberation in an open meeting would have a detrimental effect on the position of the governmental body in negotiations with a third person; and (2) seek the advice of the City Attorney on this matter.",,,,,,,,,,,Socrata Roll Call,,,,,0,3,AGENDA,NO ACTION NEEDED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/040225Min.pdf,,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,,N/A,,N/A,N/A,,,,N/A,N/A,N/A,,N/A,,,N/A
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91980,,1,"AGENDA 
CITY COUNCIL MEETING
WEDNESDAY, APRIL 9, 2025
ORDER OF BUSINESS



",,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91981,,2,"The City Council meeting will be held by videoconference and in the Council Chambers, 6th Floor at City Hall.    Individuals who wish to speak in accordance with the City Council Rules of Procedure must sign up with the City Secretary’s Office.  

The public may attend the meeting virtually; however, City Hall is available for those wishing to attend the meeting in person. 

The following videoconference link is available to the public to listen to the meeting and Office of Communications & Customer Experience/311 will also stream the City Council meeting on Spectrum Cable Channel 16 and bit.ly/cityofdallastv: 
https://dallascityhall.webex.com/dallascityhall/j.php?MTID=m7584189d7c27b103847b2a8ea3ebff5f",,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91982,,3,Public hearings will not be heard before 1:00 p.m.,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91983,,4,INVOCATION AND PLEDGE OF ALLEGIANCE,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91984,,5,OPEN MICROPHONE,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91985,,6,MINUTES,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2025-04-09,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",91986,,7,CONSENT AGENDA,,,,,,,,,,,,,,,,0,,,,https://cityofdallas.legistar1.com/cityofdallas/meetings/2025/4/3790_A_City_Council_25-04-09_COUNCIL_AGENDA.pdf,https://citysecretary2.dallascityhall.com/pdf/CC2025/040925Min.pdf,https://dallastx.new.swagit.com/videos/339584,,,,,,,,,,,,,,,,,,,,,,,,,,
