event_id,event_date,event_time,event_body,event_location,event_item_id,agenda_number,agenda_sequence,title,matter_file,matter_type,matter_status,matter_id,matter_title,matter_intro_date,matter_enactment_number,matter_requester,matter_body_name,passed,vote_type,consent,tally,mover,seconder,roll_call_flag,socrata_item_number,socrata_agenda_info,socrata_final_action,agenda_link,minutes_link,video_link,attachment_links,Adam  Bazaldua,Cara Mendelsohn,Chad West,Eric Johnson,Gay Donnell Willis,Jaime Resendez,Jesse  Moreno,Kathy Stewart,Laura Cadena,Lorie Blair,Maxie Johnson,Paul Ridley,Paula Blackmon,William Roth,Zarin D. Gracey
,2025-08-06,,City Council,,,1,,"Approval of Minutes of the June 9, 2025 Special Called Meeting, June  10,  2025 Special  Called  Meeting,  June  16,  2025 Special Called  Meeting  (9 a.m.),  June  16,  2025 Special  Called  Meeting (2:30 p.m.) and June 18, 2025 City Council Meeting",,,,,,,,,,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/080625MIN.pdf,,,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
,2025-08-06,,City Council,,,2,,"Consideration of appointments to boards and commissions and the evaluation and duties of board and commission members (List of nominees is available in the City Secretary's Office)
[Individual Appointments]",,,,,,,,,,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/080625MIN.pdf,,,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
,2025-08-06,,City Council,,,3,,"(1)  Close the May 28, 2025 public hearing to receive comments on the Proposed FY 2025-26 HUD Consolidated Plan Budget for the U.S. Department of Housing and Urban Development (HUD) Grant Funds;  and  (2)  authorize final adoption  of  the  FY  2025-26 HUD Consolidated  Plan Budget for HUD Grant  Funds  in  an estimated amount  of  $29,886,873  for  the  following  programs  and  estimated amounts: (a) Community Development Block Grant (CDBG)  in  the amount of $12,944,689; (b) HOME Investment Partnerships  Program (HOME)  in  the  amount  of $5,082,901;  (c) Emergency  Solutions Grant in the amount of $1,144,567; (d) Housing  Opportunities  for Persons  with  AIDS in the amount of $10,014,716;  and  (e) estimated  CDBG  and HOME  Program Income in the amount of $700,000 - Financing: This action has no cost consideration to the City (see Fiscal Information)",,,,,,,,,,1,Socrata Roll Call,,,,,0,3,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/080625MIN.pdf,,,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
,2025-08-06,,City Council,,,4,,Attorney Briefings (Sec. 551.071 T.O.M.A.); Seeking the advice of the City Attorney regarding: Dallas City Charter Ch. IXA,,,,,,,,,,,Socrata Roll Call,,,,,0,4,AGENDA,NO ACTION NEEDED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/080625MIN.pdf,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,2025-08-06,,City Council,,,5,,Attorney Briefings (Sec. 551.071 T.O.M.A.); Seeking the advice of the City Attorney regarding: City of Dallas v. Dallas Short-Term Rental Alliance.,,,,,,,,,,,Socrata Roll Call,,,,,0,5,AGENDA,NO ACTION NEEDED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/080625MIN.pdf,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,2025-08-13,,City Council,,,Z13,,"A   public   hearing   to   receive   comments   regarding   an   application   for   and   an ordinance   granting   an   amendment   to   Specific   Use   Permit   No.   2316 for   the sale   of   alcoholic   beverages   on   property   zoned   RR   Regional   Retail   District with   a   D-1 Liquor   Control   Overlay,   on   the   northeast   line   of   East   Ledbetter Drive, east of R.L. Thornton Freeway Service Road",,,,,,,,,,,Socrata Roll Call,,,,,0,Z13,AGENDA,DEFERRED TO 10/8/25,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,,AWVT,YES,YES,AWVT,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES
,2025-08-13,,City Council,,,Z15,,"A public hearing to receive comments regarding an application for and an ordinance granting a R-10(A) Single Family District on property zoned an A(A) Agricultural District, on the west line of Cedar Ridge Drive, north of West Red Bird Lane",,,,,,,,,,,Socrata Roll Call,,,,,0,Z15,AGENDA,DEFERRED TO 8/27/25,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES
,2025-08-13,,City Council,,,Z7,,"A public hearing to receive comments regarding an application for and an ordinance  granting  a  D(A)  Duplex  District  and  a  resolution  accepting deed  restrictions  volunteered  by  the  applicant  on  property  zoned  an R-7.5(A) Single Family District, on the south line of East Kirnwood Drive, west of Lost Mirage Drive",,,,,,,,,,,Socrata Roll Call,,,,,0,Z7,AGENDA,DEFERRED TO 8/27/25,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES,YES,YES,YES,YES,YES
3720,2025-08-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",96467,1.,18,"Approval of Minutes of the June 25, 2025 City Council Meeting",25-1286A,VOTING AGENDA,Approved,20996,"Approval of Minutes of the June 25, 2025 City Council Meeting",2025-04-08,25-1202; APPROVED,City Secretary's Office (SEC),City Secretary's Office,1,Socrata Roll Call,,,,,0,1,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
3720,2025-08-13,9:00 AM,City Council,"COUNCIL CHAMBERS, CITY HALL",96474,2.,22,"Authorize the acceptance of a donated Electronic Storage Device Detection K-9 with an estimated value of $11,000.00 from Our Rescue to the Dallas Police Department - Financing: No cost consideration to the City",25-2372A,CONSENT AGENDA,Approved,21984,"Authorize the acceptance of a donated Electronic Storage Device Detection K-9 with an estimated value of $11,000.00 from Our Rescue to the Dallas Police Department - Financing: No cost consideration to the City",2025-07-17,25-1204; APPROVED,Dallas Police Department (DPD),Dallas Police Department,1,Socrata Roll Call,,,,,0,2,AGENDA,APPROVED,,https://citysecretary2.dallascityhall.com/pdf/CC2025/081325MIN.pdf,https://dallastx.new.swagit.com/videos/352413,https://cityofdallas.legistar1.com/cityofdallas/attachments/4012be7b-34e7-4614-ad88-b1942cebe2c2.docx,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AWVT,YES,YES,YES,YES
